Monster Name,Island,Monster 1,Monster 2,Portrait URL
Rare Jeeode,Water Island,Shellbeat,Reedling,https://static.wikia.nocookie.net/mysingingmonsters/images/6/65/Rare_Jeeode.png/revision/latest?cb=20191027022600
Grumpyre,Cold Island,Deedge,Spunge,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d1/Grumpyre.png/revision/latest?cb=20240824173500
Rare Tring,Fire Haven,Stogg,Dandidoo,https://static.wikia.nocookie.net/mysingingmonsters/images/7/79/Rare_Tring.png/revision/latest?cb=20200127190047
Rare Strombonin,Mythical Island,Cataliszt,Strombonin,https://static.wikia.nocookie.net/mysingingmonsters/images/4/41/Rare_Strombonin.png/revision/latest?cb=20221214175407
Blow't,Light Island,Furcorn,Pluckbill,https://static.wikia.nocookie.net/mysingingmonsters/images/5/58/Blow%27t.png/revision/latest?cb=20220223044109
Rare Barrb,Fire Haven,Glowl,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/9/98/Rare_Barrb.png/revision/latest?cb=20230909040938
Rare Clavi Gnat,Faerie Island,Boskus,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a2/Rare_Clavi_Gnat.png/revision/latest?cb=20241120161414
Rare Sneyser,Fire Oasis,Woolabee,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ef/Rare_Sneyser.png/revision/latest?cb=20230909042202
Rare Whaddle,Fire Oasis,Phangler,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f4/Rare_Whaddle.png/revision/latest?cb=20200425185457
Epic Fwog,Plant Island,Pummel,Furcorn,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5d/Epic_Fwog.png/revision/latest?cb=20250105235716
Rare TooToo,Light Island,Flowah,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/7/71/Rare_TooToo.png/revision/latest?cb=20230909042355
Rare Hoola,Air Island,Pango,PomPom,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5b/Rare_Hoola.png/revision/latest?cb=20191027022750
Sneyser,Fire Oasis,Pango,Phangler,https://static.wikia.nocookie.net/mysingingmonsters/images/d/db/Sneyser.png/revision/latest?cb=20191027010722
Rare Bulbo,Light Island,Mammott,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/1/1c/Rare_Bulbo.png/revision/latest?cb=20241218155630
Rare Toe Jammer,Psychic Island,Rootitoot,Tapricorn,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Rare_Toe_Jammer.png/revision/latest?cb=20250106000144
Fiddlement,Light Island,Bulbo,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/8/86/Fiddlement.png/revision/latest?cb=20230909033502
Rare Bridg-it,Faerie Island,Wimmzies,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/2/24/Rare_Bridg-it.png/revision/latest?cb=20220304061117
Blow't,Light Island,Fiddlement,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/5/58/Blow%27t.png/revision/latest?cb=20220223044109
Pladdie,Faerie Island,Boskus,HippityHop,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fc/Pladdie.png/revision/latest?cb=20221210162645
Rare Ghazt,Plant Island,Entbrat,Pummel,https://static.wikia.nocookie.net/mysingingmonsters/images/8/8f/Rare_Ghazt.png/revision/latest?cb=20191027022539
Deedge,Cold Island,Thumpies,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/7/74/Deedge.png/revision/latest/scale-to-width-down/700?cb=20191026235932
Rare Entbrat,Plant Island,Clamble,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a1/Rare_Entbrat.png/revision/latest/scale-to-width-down/700?cb=20191027022431
Epic Whiz-bang,Seasonal Shanty,Spurrit,Boo'qwurm,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e8/Epic_Whiz-bang.png/revision/latest?cb=20240703172503
Epic Riff,Air Island,PomPom,Quibble,https://static.wikia.nocookie.net/mysingingmonsters/images/0/03/Epic_Riff.png/revision/latest?cb=20191023201628
Sooza,Light Island,Furcorn,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ef/Sooza.png/revision/latest?cb=20250106000301
Grumpyre,Cold Island,Deedge,Bowgart,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d1/Grumpyre.png/revision/latest?cb=20240824173500
Ffidyll,Faerie Island,Pladdie,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/f/f0/Ffidyll.png/revision/latest?cb=20220310001149
Epic Thumpies,Earth Island,Reedling,Pango,https://static.wikia.nocookie.net/mysingingmonsters/images/b/bd/Epic_Thumpies.png/revision/latest?cb=20191027015449
Rare Toe Jammer,Water Island,Spunge,Scups,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Rare_Toe_Jammer.png/revision/latest?cb=20250106000144
Boo'qwurm,Psychic Island,Periscorp,Bonkers,https://static.wikia.nocookie.net/mysingingmonsters/images/4/47/Boo%27qwurm.png/revision/latest?cb=20221028151725
Rare Potbelly,Cold Island,Spunge,Thumpies,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Gloptic,Psychic Island,Rootitoot,Theremind,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e2/Gloptic.png/revision/latest?cb=20190926165044
Rooba,Psychic Island,Flowah,Theremind,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rooba.png/revision/latest?cb=20190926165158
Wheezel,Mythical Island,Cataliszt,Hyehehe,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e8/Wheezel.png/revision/latest?cb=20230625190517
Dandidoo,Cold Island,Tweedle,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7b/Dandidoo.png/revision/latest/scale-to-width-down/700?cb=20240427083638
Enchantling,Magical Sanctum,Larvaluss,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Enchantling.png/revision/latest?cb=20230909014346
Epic Phangler,Bone Island,Banjaw,Peckidna,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d5/Epic_Phangler.png/revision/latest?cb=20240515152000
Rare Kayna,Psychic Island,Periscorp,Rootitoot,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3e/Rare_Kayna.png/revision/latest?cb=20220304050626
Rare Noggin,Air Island,T-Rox,Scups,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Shugabeats,Shugabush Island,Furcorn,Shugabush,https://static.wikia.nocookie.net/mysingingmonsters/images/8/84/Shugabeats.png/revision/latest?cb=20191027005810
Rare Fiddlement,Light Island,Boskus,Fluoress,https://static.wikia.nocookie.net/mysingingmonsters/images/8/82/Rare_Fiddlement.png/revision/latest?cb=20241116021947
Rare Hoola,Air Island,Hoola,Seasonal Monster,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5b/Rare_Hoola.png/revision/latest?cb=20191027022750
Rare Rooba,Psychic Island,Bonkers,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/2/20/Rare_Rooba.png/revision/latest?cb=20231101170614
Rare Tweedle,Fire Oasis,Congle,Whaddle,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Epic Tring,Fire Haven,Barrb,Stogg,https://static.wikia.nocookie.net/mysingingmonsters/images/8/89/Epic_Tring.png/revision/latest?cb=20220304060238
Epic Glowl,Fire Oasis,Wynq,Quibble,https://static.wikia.nocookie.net/mysingingmonsters/images/5/58/Epic_Glowl.png/revision/latest?cb=20221123170118
Jellbilly,Ethereal Island,Ghazt,Humbug,https://static.wikia.nocookie.net/mysingingmonsters/images/c/cf/Jellbilly.png/revision/latest/scale-to-width-down/700?cb=20240508135843
Rare Maw,Plant Island,Toe Jammer,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/2/23/Rare_Maw.png/revision/latest?cb=20250105235455
Jeeode,Water Island,Shellbeat,Spunge,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0f/Jeeode.png/revision/latest/scale-to-width-down/700?cb=20191027013751
Boo'qwurm,Seasonal Shanty,Schmoochle,Hoola,https://static.wikia.nocookie.net/mysingingmonsters/images/4/47/Boo%27qwurm.png/revision/latest?cb=20221028151725
Epic Shrubb,Plant Island,T-Rox,Oaktopus,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c8/Epic_Shrubb.png/revision/latest?cb=20250105235935
Rare Ziggurab,Faerie Island,Drumpler,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/0/09/Rare_Ziggurab.png/revision/latest?cb=20220304065102
Epic Buzzinga,Mythical Island,Cataliszt,Anglow,https://static.wikia.nocookie.net/mysingingmonsters/images/9/97/Epic_Buzzinga.png/revision/latest?cb=20241127162610
Rare Boo'qwurm,Psychic Island,Periscorp,Bonkers,https://static.wikia.nocookie.net/mysingingmonsters/images/2/2e/Rare_Boo%27qwurm.png/revision/latest?cb=20240215002427
Epic Hoola,Earth Island,Quarrister,Dandidoo,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c3/Epic_Hoola.png/revision/latest?cb=20190717200159
Epic Mammott,Cold Island,Deedge,Maw,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a2/Epic_Mammott.png/revision/latest?cb=20250106000121
Entbrat,Plant Island,Pummel,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/c/ca/Entbrat.png/revision/latest/scale-to-width-down/700?cb=20191026235937
Epic Mammott,Light Island,Blow't,Flowah,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a2/Epic_Mammott.png/revision/latest?cb=20250106000121
Pladdie,Faerie Island,Ziggurab,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fc/Pladdie.png/revision/latest?cb=20221210162645
Rare Tweedle,Cold Island,Spunge,Thumpies,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Rare Glowl,Fire Haven,Tweedle,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/8/8b/Rare_Glowl.png/revision/latest?cb=20230909041311
Pinghound,Mythical Island,Cataliszt,Anglow,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d0/Pinghound.png/revision/latest?cb=20230405194328
Rare Noggin,Plant Island,T-Rox,Pummel,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Rare Sneyser,Fire Oasis,Glowl,Maw,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ef/Rare_Sneyser.png/revision/latest?cb=20230909042202
Epic Whisp,Ethereal Island,Nebulob,Kazilleon,https://static.wikia.nocookie.net/mysingingmonsters/images/8/82/Epic_Whisp.png/revision/latest?cb=20230607171753
PomPom,Air Island,Cybop,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/0/07/PomPom.png/revision/latest/scale-to-width-down/700?cb=20240508141931
Rare Shellbeat,Water Island,Spunge,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/2/2b/Rare_Shellbeat.png/revision/latest?cb=20191027022454
Epic Toe Jammer,Psychic Island,Gloptic,Flowah,https://static.wikia.nocookie.net/mysingingmonsters/images/4/40/Epic_Toe_Jammer.png/revision/latest?cb=20250106000135
Rare Quarrister,Earth Island,Reedling,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Rare_Quarrister.png/revision/latest?cb=20230909041737
Rare Entbrat,Plant Island,Shrubb,Maw,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a1/Rare_Entbrat.png/revision/latest/scale-to-width-down/700?cb=20191027022431
Deedge,Cold Island,Quibble,Furcorn,https://static.wikia.nocookie.net/mysingingmonsters/images/7/74/Deedge.png/revision/latest/scale-to-width-down/700?cb=20191026235932
Rare Noggin,Earth Island,Clamble,Reedling,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Rare Kayna,Bone Island,Banjaw,Thrumble,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3e/Rare_Kayna.png/revision/latest?cb=20220304050626
Riff,Air Island,Pango,Fwog,https://static.wikia.nocookie.net/mysingingmonsters/images/c/c3/Riff.png/revision/latest/scale-to-width-down/700?cb=20191026235927
Rare G'day,Magical Sanctum,Roarick,Theremind,https://static.wikia.nocookie.net/mysingingmonsters/images/1/10/Rare_G%27day.png/revision/latest?cb=20250122153945
Rare Potbelly,Shugabush Island,Shugabush,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Rare Tweedle,Air Island,PomPom,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Epic Toe Jammer,Water Island,Shellbeat,Fwog,https://static.wikia.nocookie.net/mysingingmonsters/images/4/40/Epic_Toe_Jammer.png/revision/latest?cb=20250106000135
Epic Furcorn,Cold Island,Spunge,Maw,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b9/Epic_Furcorn.png/revision/latest?cb=20250105235752
Tring,Fire Haven,Barrb,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ed/Tring.png/revision/latest?cb=20191027010718
Rare Mammott,Air Island,PomPom,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b4/Rare_Mammott.png/revision/latest?cb=20250106000128
Rare Pummel,Plant Island,Fwog,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/9/97/Rare_Pummel.png/revision/latest?cb=20191027022323
Epic Kayna,Fire Haven,Tring,Stogg,https://static.wikia.nocookie.net/mysingingmonsters/images/1/1c/Epic_Kayna.png/revision/latest?cb=20220304060550
Epic Toe Jammer,Fire Oasis,Sneyser,Pango,https://static.wikia.nocookie.net/mysingingmonsters/images/4/40/Epic_Toe_Jammer.png/revision/latest?cb=20250106000135
Quarrister,Earth Island,Thumpies,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/6/68/Quarrister.png/revision/latest/scale-to-width-down/700?cb=20191026235916
Epic Oaktopus,Shugabush Island,Shugabush,Quibble,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e9/Epic_Oaktopus.png/revision/latest?cb=20250105235918
Rare Ffidyll,Faerie Island,Pladdie,Floot Fly,https://static.wikia.nocookie.net/mysingingmonsters/images/2/28/Rare_Ffidyll.png/revision/latest?cb=20230914010909
Epic Humbug,Ethereal Island,Whisp,Bellowfish,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5f/Epic_Humbug.png/revision/latest?cb=20230312044315
Rare Jellbilly,Ethereal Island,Ghazt,Humbug,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fb/Rare_Jellbilly.png/revision/latest?cb=20191027022636
Rare Tring,Fire Haven,Reedling,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/7/79/Rare_Tring.png/revision/latest?cb=20200127190047
Pummel,Plant Island,Shrubb,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ec/Pummel.png/revision/latest/scale-to-width-down/700?cb=20240508142318
Quarrister,Earth Island,Cybop,Furcorn,https://static.wikia.nocookie.net/mysingingmonsters/images/6/68/Quarrister.png/revision/latest/scale-to-width-down/700?cb=20191026235916
Rare Ziggurab,Faerie Island,Stogg,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/0/09/Rare_Ziggurab.png/revision/latest?cb=20220304065102
Rare Tweedle,Earth Island,Thumpies,PomPom,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Rare Clackula,Magical Sanctum,Mushaboom,G'day,https://static.wikia.nocookie.net/mysingingmonsters/images/0/06/Rare_Clackula.png/revision/latest?cb=20240619151530
Shellbeat,Water Island,Dandidoo,Fwog,https://static.wikia.nocookie.net/mysingingmonsters/images/2/23/Shellbeat.png/revision/latest/scale-to-width-down/700?cb=20191026235923
Rare Cantorell,Faerie Island,HippityHop,Mammott,https://static.wikia.nocookie.net/mysingingmonsters/images/3/38/Rare_Cantorell.png/revision/latest?cb=20250215215447
Rare Tweedle,Water Island,Spunge,Scups,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Epic Blabbit,Seasonal Shanty,Punkleton,Yool,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3f/Epic_Blabbit.png/revision/latest?cb=20191027015401
Rare Potbelly,Light Island,Spytrap,TooToo,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7f/Rare_Potbelly.png/revision/latest?cb=20250106000228
Epic Dandidoo,Cold Island,Bowgart,Quibble,https://static.wikia.nocookie.net/mysingingmonsters/images/f/fb/Epic_Dandidoo.png/revision/latest?cb=20250106000105
Rare Anglow,Water Island,Pummel,Scups,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5a/Rare_Anglow.png/revision/latest?cb=20240619151338
Reedling,Water Island,Dandidoo,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/6/65/Reedling.png/revision/latest/scale-to-width-down/700?cb=20240508142845
Rare Mammott,Air Island,Congle,T-Rox,https://static.wikia.nocookie.net/mysingingmonsters/images/b/b4/Rare_Mammott.png/revision/latest?cb=20250106000128
Reedling,Water Island,Shrubb,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/6/65/Reedling.png/revision/latest/scale-to-width-down/700?cb=20240508142845
Woolabee,Fire Oasis,Boskus,Tweedle,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e2/Woolabee.png/revision/latest?cb=20250106000337
Rare Gloptic,Psychic Island,Tapricorn,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/1/19/Rare_Gloptic.png/revision/latest?cb=20240814155240
Rare Grumpyre,Cold Island,Deedge,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5f/Rare_Grumpyre.png/revision/latest?cb=20191027022544
Rare Toe Jammer,Fire Oasis,Whaddle,Wynq,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Rare_Toe_Jammer.png/revision/latest?cb=20250106000144
Rare Deedge,Cold Island,Congle,Potbelly,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e9/Rare_Deedge.png/revision/latest?cb=20230725174111
Epic Grumpyre,Cold Island,Bowgart,Dandidoo,https://static.wikia.nocookie.net/mysingingmonsters/images/7/76/Epic_Grumpyre.png/revision/latest?cb=20220922010950
Rare Kayna,Fire Oasis,Wynq,Whaddle,https://static.wikia.nocookie.net/mysingingmonsters/images/3/3e/Rare_Kayna.png/revision/latest?cb=20220304050626
Tring,Fire Haven,Shrubb,Glowl,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ed/Tring.png/revision/latest?cb=20191027010718
Rare Toe Jammer,Bone Island,Withur,Banjaw,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Rare_Toe_Jammer.png/revision/latest?cb=20250106000144
Epic Ghazt,Ethereal Island,Boodoo,Dragong,https://static.wikia.nocookie.net/mysingingmonsters/images/d/d6/Epic_Ghazt.png/revision/latest?cb=20220304051517
Rare Noggin,Air Island,Scups,PomPom,https://static.wikia.nocookie.net/mysingingmonsters/images/0/0a/Rare_Noggin.png/revision/latest?cb=20250106000150
Epic Dragong,Ethereal Island,Whisp,Fung Pray,https://static.wikia.nocookie.net/mysingingmonsters/images/4/45/Epic_Dragong.png/revision/latest?cb=20250129154246
Rare Withur,Bone Island,Denchuhs,Noggin,https://static.wikia.nocookie.net/mysingingmonsters/images/7/73/Rare_Withur.png/revision/latest?cb=20221026221424
Rare Floogull,Fire Haven,Cybop,Kayna,https://static.wikia.nocookie.net/mysingingmonsters/images/7/7e/Rare_Floogull.png/revision/latest?cb=20190704210909
Epic Boodoo,Ethereal Island,Kazilleon,Bellowfish,https://static.wikia.nocookie.net/mysingingmonsters/images/a/a9/Epic_Boodoo.png/revision/latest?cb=20231025163700
Bowgart,Plant Island,Furcorn,Toe Jammer,https://static.wikia.nocookie.net/mysingingmonsters/images/5/5b/Bowgart.png/revision/latest/scale-to-width-down/700?cb=20221208150221
Monculus,Seasonal Shanty,Yool,Hoola,https://static.wikia.nocookie.net/mysingingmonsters/images/4/47/Monculus.png/revision/latest?cb=20221030013555
G'day,Magical Sanctum,Roarick,Theremind,https://static.wikia.nocookie.net/mysingingmonsters/images/e/ee/G%27day.png/revision/latest?cb=20220304050303
Rare Tweedle,Fire Haven,Floogull,Reedling,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Rare Tweedle,Fire Oasis,Woolabee,Congle,https://static.wikia.nocookie.net/mysingingmonsters/images/8/85/Rare_Tweedle.png/revision/latest?cb=20250106000109
Reebro,Air Island,Riff,PomPom,https://static.wikia.nocookie.net/mysingingmonsters/images/e/e7/Reebro.png/revision/latest/scale-to-width-down/700?cb=20240427043946
